Category: All categories

Week,bar: (Belgium)
2019-09-01,79
2019-09-08,75
2019-09-15,79
2019-09-22,73
2019-09-29,75
2019-10-06,76
2019-10-13,79
2019-10-20,84
2019-10-27,88
2019-11-03,78
2019-11-10,81
2019-11-17,79
2019-11-24,78
2019-12-01,74
2019-12-08,75
2019-12-15,78
2019-12-22,86
2019-12-29,93
2020-01-05,74
2020-01-12,77
2020-01-19,83
2020-01-26,81
2020-02-02,94
2020-02-09,84
2020-02-16,87
2020-02-23,82
2020-03-01,72
2020-03-08,65
2020-03-15,31
2020-03-22,36
2020-03-29,36
2020-04-05,35
2020-04-12,43
2020-04-19,38
2020-04-26,37
2020-05-03,40
2020-05-10,43
2020-05-17,43
2020-05-24,42
2020-05-31,52
2020-06-07,76
2020-06-14,84
2020-06-21,94
2020-06-28,89
2020-07-05,90
2020-07-12,97
2020-07-19,100
2020-07-26,84
2020-08-02,94
2020-08-09,94
2020-08-16,82
2020-08-23,76
