Category: All categories

Week,Cafe: (Belgium)
2019-09-01,83
2019-09-08,85
2019-09-15,88
2019-09-22,84
2019-09-29,92
2019-10-06,78
2019-10-13,81
2019-10-20,85
2019-10-27,100
2019-11-03,84
2019-11-10,88
2019-11-17,81
2019-11-24,76
2019-12-01,76
2019-12-08,78
2019-12-15,77
2019-12-22,89
2019-12-29,99
2020-01-05,81
2020-01-12,84
2020-01-19,87
2020-01-26,81
2020-02-02,89
2020-02-09,81
2020-02-16,86
2020-02-23,93
2020-03-01,82
2020-03-08,82
2020-03-15,33
2020-03-22,36
2020-03-29,36
2020-04-05,41
2020-04-12,40
2020-04-19,42
2020-04-26,38
2020-05-03,36
2020-05-10,38
2020-05-17,42
2020-05-24,43
2020-05-31,58
2020-06-07,87
2020-06-14,89
2020-06-21,95
2020-06-28,91
2020-07-05,91
2020-07-12,88
2020-07-19,99
2020-07-26,83
2020-08-02,86
2020-08-09,87
2020-08-16,89
2020-08-23,91
