Category: All categories

Week,DIY: (Belgium)
2019-09-01,47
2019-09-08,43
2019-09-15,42
2019-09-22,48
2019-09-29,46
2019-10-06,40
2019-10-13,48
2019-10-20,50
2019-10-27,59
2019-11-03,56
2019-11-10,41
2019-11-17,61
2019-11-24,42
2019-12-01,51
2019-12-08,45
2019-12-15,53
2019-12-22,53
2019-12-29,48
2020-01-05,47
2020-01-12,46
2020-01-19,52
2020-01-26,44
2020-02-02,50
2020-02-09,52
2020-02-16,50
2020-02-23,56
2020-03-01,45
2020-03-08,45
2020-03-15,65
2020-03-22,80
2020-03-29,78
2020-04-05,86
2020-04-12,100
2020-04-19,83
2020-04-26,83
2020-05-03,86
2020-05-10,68
2020-05-17,80
2020-05-24,68
2020-05-31,64
2020-06-07,54
2020-06-14,52
2020-06-21,59
2020-06-28,44
2020-07-05,44
2020-07-12,52
2020-07-19,53
2020-07-26,62
2020-08-02,47
2020-08-09,61
2020-08-16,46
2020-08-23,78
