Category: All categories

Week,Restaurant: (Belgium)
2019-09-01,72
2019-09-08,70
2019-09-15,71
2019-09-22,72
2019-09-29,70
2019-10-06,72
2019-10-13,74
2019-10-20,75
2019-10-27,92
2019-11-03,81
2019-11-10,80
2019-11-17,75
2019-11-24,69
2019-12-01,69
2019-12-08,67
2019-12-15,68
2019-12-22,79
2019-12-29,78
2020-01-05,65
2020-01-12,71
2020-01-19,75
2020-01-26,80
2020-02-02,79
2020-02-09,89
2020-02-16,78
2020-02-23,77
2020-03-01,68
2020-03-08,57
2020-03-15,19
2020-03-22,17
2020-03-29,19
2020-04-05,18
2020-04-12,22
2020-04-19,19
2020-04-26,23
2020-05-03,24
2020-05-10,25
2020-05-17,25
2020-05-24,24
2020-05-31,41
2020-06-07,70
2020-06-14,74
2020-06-21,82
2020-06-28,91
2020-07-05,96
2020-07-12,98
2020-07-19,99
2020-07-26,83
2020-08-02,81
2020-08-09,85
2020-08-16,86
2020-08-23,100
