Category: All categories

Week,Bar: (Brazil)
2019-09-01,82
2019-09-08,86
2019-09-15,82
2019-09-22,77
2019-09-29,82
2019-10-06,79
2019-10-13,81
2019-10-20,80
2019-10-27,81
2019-11-03,83
2019-11-10,89
2019-11-17,84
2019-11-24,80
2019-12-01,87
2019-12-08,92
2019-12-15,96
2019-12-22,100
2019-12-29,95
2020-01-05,89
2020-01-12,89
2020-01-19,85
2020-01-26,83
2020-02-02,82
2020-02-09,79
2020-02-16,73
2020-02-23,87
2020-03-01,75
2020-03-08,75
2020-03-15,43
2020-03-22,31
2020-03-29,34
2020-04-05,36
2020-04-12,33
2020-04-19,35
2020-04-26,35
2020-05-03,35
2020-05-10,34
2020-05-17,35
2020-05-24,37
2020-05-31,36
2020-06-07,42
2020-06-14,36
2020-06-21,37
2020-06-28,40
2020-07-05,41
2020-07-12,41
2020-07-19,43
2020-07-26,43
2020-08-02,46
2020-08-09,49
2020-08-16,48
2020-08-23,71
