Category: All categories

Week,Cafe: (Brazil)
2019-09-01,75
2019-09-08,73
2019-09-15,74
2019-09-22,71
2019-09-29,71
2019-10-06,68
2019-10-13,67
2019-10-20,67
2019-10-27,67
2019-11-03,64
2019-11-10,69
2019-11-17,68
2019-11-24,67
2019-12-01,66
2019-12-08,68
2019-12-15,65
2019-12-22,70
2019-12-29,69
2020-01-05,71
2020-01-12,72
2020-01-19,72
2020-01-26,74
2020-02-02,77
2020-02-09,69
2020-02-16,66
2020-02-23,71
2020-03-01,70
2020-03-08,65
2020-03-15,52
2020-03-22,55
2020-03-29,60
2020-04-05,59
2020-04-12,63
2020-04-19,68
2020-04-26,74
2020-05-03,100
2020-05-10,77
2020-05-17,75
2020-05-24,81
2020-05-31,82
2020-06-07,82
2020-06-14,72
2020-06-21,74
2020-06-28,72
2020-07-05,73
2020-07-12,73
2020-07-19,74
2020-07-26,73
2020-08-02,80
2020-08-09,72
2020-08-16,71
2020-08-23,72
