Category: All categories

Week,DIY: (Brazil)
2019-09-01,64
2019-09-08,73
2019-09-15,68
2019-09-22,72
2019-09-29,64
2019-10-06,71
2019-10-13,71
2019-10-20,78
2019-10-27,78
2019-11-03,68
2019-11-10,76
2019-11-17,74
2019-11-24,65
2019-12-01,69
2019-12-08,74
2019-12-15,67
2019-12-22,79
2019-12-29,66
2020-01-05,66
2020-01-12,72
2020-01-19,73
2020-01-26,72
2020-02-02,66
2020-02-09,65
2020-02-16,81
2020-02-23,72
2020-03-01,61
2020-03-08,59
2020-03-15,57
2020-03-22,69
2020-03-29,74
2020-04-05,82
2020-04-12,85
2020-04-19,85
2020-04-26,85
2020-05-03,100
2020-05-10,87
2020-05-17,98
2020-05-24,100
2020-05-31,99
2020-06-07,97
2020-06-14,90
2020-06-21,86
2020-06-28,89
2020-07-05,91
2020-07-12,92
2020-07-19,85
2020-07-26,87
2020-08-02,94
2020-08-09,79
2020-08-16,75
2020-08-23,100
