Category: All categories

Week,Restaurant: (Brazil)
2019-09-01,72
2019-09-08,96
2019-09-15,71
2019-09-22,70
2019-09-29,82
2019-10-06,90
2019-10-13,100
2019-10-20,96
2019-10-27,79
2019-11-03,81
2019-11-10,86
2019-11-17,74
2019-11-24,67
2019-12-01,72
2019-12-08,71
2019-12-15,74
2019-12-22,85
2019-12-29,80
2020-01-05,73
2020-01-12,75
2020-01-19,81
2020-01-26,80
2020-02-02,81
2020-02-09,86
2020-02-16,86
2020-02-23,99
2020-03-01,77
2020-03-08,62
2020-03-15,51
2020-03-22,44
2020-03-29,42
2020-04-05,44
2020-04-12,50
2020-04-19,36
2020-04-26,41
2020-05-03,40
2020-05-10,39
2020-05-17,54
2020-05-24,48
2020-05-31,41
2020-06-07,50
2020-06-14,50
2020-06-21,52
2020-06-28,45
2020-07-05,49
2020-07-12,45
2020-07-19,34
2020-07-26,46
2020-08-02,47
2020-08-09,45
2020-08-16,52
2020-08-23,57
