Category: All categories

Week,Homeschooling: (Brazil)
2019-09-01,13
2019-09-08,20
2019-09-15,24
2019-09-22,20
2019-09-29,18
2019-10-06,15
2019-10-13,17
2019-10-20,14
2019-10-27,21
2019-11-03,18
2019-11-10,11
2019-11-17,12
2019-11-24,9
2019-12-01,11
2019-12-08,10
2019-12-15,8
2019-12-22,8
2019-12-29,4
2020-01-05,6
2020-01-12,11
2020-01-19,13
2020-01-26,11
2020-02-02,14
2020-02-09,9
2020-02-16,11
2020-02-23,12
2020-03-01,9
2020-03-08,15
2020-03-15,28
2020-03-22,67
2020-03-29,100
2020-04-05,83
2020-04-12,77
2020-04-19,50
2020-04-26,57
2020-05-03,54
2020-05-10,46
2020-05-17,52
2020-05-24,48
2020-05-31,39
2020-06-07,37
2020-06-14,38
2020-06-21,35
2020-06-28,33
2020-07-05,27
2020-07-12,27
2020-07-19,24
2020-07-26,27
2020-08-02,30
2020-08-09,23
2020-08-16,26
2020-08-23,18
