Category: All categories

Week,Bar: (Canada)
2019-09-01,92
2019-09-08,88
2019-09-15,93
2019-09-22,90
2019-09-29,88
2019-10-06,86
2019-10-13,90
2019-10-20,88
2019-10-27,91
2019-11-03,91
2019-11-10,86
2019-11-17,90
2019-11-24,88
2019-12-01,87
2019-12-08,90
2019-12-15,93
2019-12-22,96
2019-12-29,100
2020-01-05,85
2020-01-12,87
2020-01-19,90
2020-01-26,91
2020-02-02,89
2020-02-09,92
2020-02-16,97
2020-02-23,89
2020-03-01,92
2020-03-08,77
2020-03-15,61
2020-03-22,53
2020-03-29,55
2020-04-05,57
2020-04-12,60
2020-04-19,62
2020-04-26,61
2020-05-03,62
2020-05-10,63
2020-05-17,67
2020-05-24,66
2020-05-31,68
2020-06-07,74
2020-06-14,78
2020-06-21,86
2020-06-28,87
2020-07-05,85
2020-07-12,83
2020-07-19,88
2020-07-26,84
2020-08-02,84
2020-08-09,86
2020-08-16,86
2020-08-23,97
