Category: All categories

Week,Cafe: (Canada)
2019-09-01,89
2019-09-08,89
2019-09-15,87
2019-09-22,84
2019-09-29,84
2019-10-06,84
2019-10-13,86
2019-10-20,80
2019-10-27,79
2019-11-03,84
2019-11-10,85
2019-11-17,82
2019-11-24,78
2019-12-01,76
2019-12-08,79
2019-12-15,81
2019-12-22,92
2019-12-29,95
2020-01-05,76
2020-01-12,77
2020-01-19,83
2020-01-26,85
2020-02-02,85
2020-02-09,90
2020-02-16,100
2020-02-23,83
2020-03-01,88
2020-03-08,71
2020-03-15,53
2020-03-22,39
2020-03-29,42
2020-04-05,45
2020-04-12,44
2020-04-19,45
2020-04-26,45
2020-05-03,50
2020-05-10,50
2020-05-17,51
2020-05-24,53
2020-05-31,53
2020-06-07,58
2020-06-14,64
2020-06-21,69
2020-06-28,77
2020-07-05,70
2020-07-12,73
2020-07-19,87
2020-07-26,85
2020-08-02,79
2020-08-09,76
2020-08-16,82
2020-08-23,95
