Category: All categories

Week,DIY: (Canada)
2019-09-01,51
2019-09-08,49
2019-09-15,52
2019-09-22,57
2019-09-29,57
2019-10-06,60
2019-10-13,68
2019-10-20,83
2019-10-27,86
2019-11-03,55
2019-11-10,56
2019-11-17,62
2019-11-24,58
2019-12-01,60
2019-12-08,58
2019-12-15,58
2019-12-22,54
2019-12-29,57
2020-01-05,47
2020-01-12,53
2020-01-19,50
2020-01-26,49
2020-02-02,51
2020-02-09,55
2020-02-16,50
2020-02-23,49
2020-03-01,52
2020-03-08,53
2020-03-15,65
2020-03-22,84
2020-03-29,92
2020-04-05,98
2020-04-12,97
2020-04-19,95
2020-04-26,96
2020-05-03,100
2020-05-10,93
2020-05-17,94
2020-05-24,89
2020-05-31,81
2020-06-07,80
2020-06-14,80
2020-06-21,75
2020-06-28,72
2020-07-05,69
2020-07-12,69
2020-07-19,68
2020-07-26,68
2020-08-02,66
2020-08-09,65
2020-08-16,64
2020-08-23,69
