Category: All categories

Week,Restaurant: (Canada)
2019-09-01,83
2019-09-08,79
2019-09-15,77
2019-09-22,80
2019-09-29,77
2019-10-06,77
2019-10-13,79
2019-10-20,75
2019-10-27,74
2019-11-03,78
2019-11-10,75
2019-11-17,73
2019-11-24,71
2019-12-01,73
2019-12-08,77
2019-12-15,78
2019-12-22,93
2019-12-29,94
2020-01-05,69
2020-01-12,69
2020-01-19,75
2020-01-26,73
2020-02-02,71
2020-02-09,88
2020-02-16,81
2020-02-23,68
2020-03-01,72
2020-03-08,57
2020-03-15,43
2020-03-22,30
2020-03-29,31
2020-04-05,32
2020-04-12,36
2020-04-19,37
2020-04-26,37
2020-05-03,43
2020-05-10,46
2020-05-17,44
2020-05-24,43
2020-05-31,49
2020-06-07,52
2020-06-14,63
2020-06-21,72
2020-06-28,76
2020-07-05,73
2020-07-12,76
2020-07-19,78
2020-07-26,80
2020-08-02,85
2020-08-09,83
2020-08-16,83
2020-08-23,100
