Category: All categories

Week,Sewing: (Canada)
2019-09-01,35
2019-09-08,36
2019-09-15,36
2019-09-22,33
2019-09-29,34
2019-10-06,33
2019-10-13,40
2019-10-20,41
2019-10-27,38
2019-11-03,37
2019-11-10,40
2019-11-17,44
2019-11-24,40
2019-12-01,42
2019-12-08,40
2019-12-15,38
2019-12-22,35
2019-12-29,39
2020-01-05,40
2020-01-12,39
2020-01-19,39
2020-01-26,37
2020-02-02,41
2020-02-09,37
2020-02-16,36
2020-02-23,34
2020-03-01,37
2020-03-08,35
2020-03-15,37
2020-03-22,51
2020-03-29,71
2020-04-05,100
2020-04-12,77
2020-04-19,71
2020-04-26,66
2020-05-03,66
2020-05-10,64
2020-05-17,67
2020-05-24,56
2020-05-31,52
2020-06-07,52
2020-06-14,51
2020-06-21,49
2020-06-28,49
2020-07-05,52
2020-07-12,53
2020-07-19,51
2020-07-26,52
2020-08-02,53
2020-08-09,50
2020-08-16,52
2020-08-23,59
