Category: All categories

Week,Bar: (Chile)
2019-09-01,90
2019-09-08,78
2019-09-15,95
2019-09-22,84
2019-09-29,89
2019-10-06,84
2019-10-13,81
2019-10-20,36
2019-10-27,64
2019-11-03,71
2019-11-10,66
2019-11-17,82
2019-11-24,83
2019-12-01,89
2019-12-08,76
2019-12-15,82
2019-12-22,80
2019-12-29,83
2020-01-05,87
2020-01-12,91
2020-01-19,100
2020-01-26,88
2020-02-02,88
2020-02-09,95
2020-02-16,96
2020-02-23,81
2020-03-01,81
2020-03-08,76
2020-03-15,37
2020-03-22,31
2020-03-29,30
2020-04-05,33
2020-04-12,38
2020-04-19,42
2020-04-26,38
2020-05-03,35
2020-05-10,39
2020-05-17,43
2020-05-24,41
2020-05-31,41
2020-06-07,43
2020-06-14,43
2020-06-21,41
2020-06-28,38
2020-07-05,38
2020-07-12,41
2020-07-19,38
2020-07-26,41
2020-08-02,36
2020-08-09,42
2020-08-16,46
2020-08-23,59
