Category: All categories

Week,Cafe: (Chile)
2019-09-01,86
2019-09-08,84
2019-09-15,80
2019-09-22,89
2019-09-29,94
2019-10-06,83
2019-10-13,76
2019-10-20,62
2019-10-27,78
2019-11-03,78
2019-11-10,69
2019-11-17,82
2019-11-24,86
2019-12-01,79
2019-12-08,81
2019-12-15,87
2019-12-22,89
2019-12-29,83
2020-01-05,93
2020-01-12,92
2020-01-19,84
2020-01-26,83
2020-02-02,100
2020-02-09,91
2020-02-16,91
2020-02-23,85
2020-03-01,81
2020-03-08,75
2020-03-15,60
2020-03-22,61
2020-03-29,63
2020-04-05,77
2020-04-12,79
2020-04-19,86
2020-04-26,85
2020-05-03,81
2020-05-10,79
2020-05-17,78
2020-05-24,77
2020-05-31,75
2020-06-07,79
2020-06-14,83
2020-06-21,75
2020-06-28,81
2020-07-05,75
2020-07-12,75
2020-07-19,69
2020-07-26,66
2020-08-02,61
2020-08-09,73
2020-08-16,70
2020-08-23,85
