Category: All categories

Week,Sewing: (Chile)
2019-09-01,42
2019-09-08,42
2019-09-15,41
2019-09-22,49
2019-09-29,48
2019-10-06,43
2019-10-13,38
2019-10-20,34
2019-10-27,41
2019-11-03,38
2019-11-10,36
2019-11-17,38
2019-11-24,45
2019-12-01,38
2019-12-08,46
2019-12-15,39
2019-12-22,36
2019-12-29,38
2020-01-05,37
2020-01-12,49
2020-01-19,47
2020-01-26,43
2020-02-02,43
2020-02-09,45
2020-02-16,45
2020-02-23,42
2020-03-01,43
2020-03-08,38
2020-03-15,39
2020-03-22,49
2020-03-29,50
2020-04-05,80
2020-04-12,84
2020-04-19,100
2020-04-26,95
2020-05-03,88
2020-05-10,71
2020-05-17,70
2020-05-24,74
2020-05-31,72
2020-06-07,59
2020-06-14,61
2020-06-21,63
2020-06-28,70
2020-07-05,68
2020-07-12,74
2020-07-19,68
2020-07-26,61
2020-08-02,64
2020-08-09,84
2020-08-16,74
2020-08-23,85
