Category: All categories

Week,Bar: (Colombia)
2019-09-01,83
2019-09-08,85
2019-09-15,92
2019-09-22,87
2019-09-29,82
2019-10-06,78
2019-10-13,85
2019-10-20,77
2019-10-27,80
2019-11-03,95
2019-11-10,90
2019-11-17,77
2019-11-24,81
2019-12-01,95
2019-12-08,97
2019-12-15,100
2019-12-22,91
2019-12-29,95
2020-01-05,85
2020-01-12,83
2020-01-19,86
2020-01-26,81
2020-02-02,84
2020-02-09,84
2020-02-16,85
2020-02-23,81
2020-03-01,82
2020-03-08,71
2020-03-15,42
2020-03-22,31
2020-03-29,34
2020-04-05,40
2020-04-12,37
2020-04-19,30
2020-04-26,30
2020-05-03,32
2020-05-10,34
2020-05-17,37
2020-05-24,38
2020-05-31,39
2020-06-07,37
2020-06-14,37
2020-06-21,40
2020-06-28,36
2020-07-05,42
2020-07-12,37
2020-07-19,37
2020-07-26,35
2020-08-02,36
2020-08-09,35
2020-08-16,40
2020-08-23,44
