Category: All categories

Week,Restaurant: (Colombia)
2019-09-01,45
2019-09-08,44
2019-09-15,48
2019-09-22,43
2019-09-29,46
2019-10-06,55
2019-10-13,48
2019-10-20,44
2019-10-27,62
2019-11-03,61
2019-11-10,59
2019-11-17,68
2019-11-24,65
2019-12-01,75
2019-12-08,58
2019-12-15,77
2019-12-22,100
2019-12-29,88
2020-01-05,88
2020-01-12,70
2020-01-19,64
2020-01-26,57
2020-02-02,64
2020-02-09,59
2020-02-16,66
2020-02-23,69
2020-03-01,67
2020-03-08,51
2020-03-15,29
2020-03-22,24
2020-03-29,26
2020-04-05,26
2020-04-12,27
2020-04-19,29
2020-04-26,18
2020-05-03,24
2020-05-10,27
2020-05-17,26
2020-05-24,24
2020-05-31,24
2020-06-07,24
2020-06-14,28
2020-06-21,28
2020-06-28,21
2020-07-05,28
2020-07-12,29
2020-07-19,22
2020-07-26,27
2020-08-02,31
2020-08-09,26
2020-08-16,26
2020-08-23,37
