Category: All categories

Week,Homeschooling: (Colombia)
2019-09-01,5
2019-09-08,15
2019-09-15,27
2019-09-22,18
2019-09-29,10
2019-10-06,10
2019-10-13,21
2019-10-20,10
2019-10-27,19
2019-11-03,21
2019-11-10,26
2019-11-17,10
2019-11-24,15
2019-12-01,11
2019-12-08,9
2019-12-15,11
2019-12-22,13
2019-12-29,13
2020-01-05,11
2020-01-12,18
2020-01-19,18
2020-01-26,17
2020-02-02,28
2020-02-09,24
2020-02-16,17
2020-02-23,11
2020-03-01,6
2020-03-08,14
2020-03-15,47
2020-03-22,32
2020-03-29,40
2020-04-05,17
2020-04-12,31
2020-04-19,49
2020-04-26,23
2020-05-03,27
2020-05-10,42
2020-05-17,28
2020-05-24,29
2020-05-31,36
2020-06-07,23
2020-06-14,39
2020-06-21,46
2020-06-28,30
2020-07-05,26
2020-07-12,30
2020-07-19,33
2020-07-26,22
2020-08-02,26
2020-08-09,34
2020-08-16,23
2020-08-23,100
