Category: All categories

Day,bar: (France)
2020-01-12,61
2020-01-13,55
2020-01-14,56
2020-01-15,55
2020-01-16,59
2020-01-17,68
2020-01-18,84
2020-01-19,62
2020-01-20,55
2020-01-21,58
2020-01-22,59
2020-01-23,60
2020-01-24,64
2020-01-25,82
2020-01-26,62
2020-01-27,52
2020-01-28,56
2020-01-29,55
2020-01-30,59
2020-01-31,72
2020-02-01,84
2020-02-02,65
2020-02-03,54
2020-02-04,54
2020-02-05,60
2020-02-06,59
2020-02-07,72
2020-02-08,81
2020-02-09,66
2020-02-10,56
2020-02-11,57
2020-02-12,59
2020-02-13,64
2020-02-14,74
2020-02-15,87
2020-02-16,70
2020-02-17,61
2020-02-18,70
2020-02-19,65
2020-02-20,83
2020-02-21,80
2020-02-22,91
2020-02-23,68
2020-02-24,60
2020-02-25,58
2020-02-26,63
2020-02-27,62
2020-02-28,66
2020-02-29,76
2020-03-01,62
2020-03-02,51
2020-03-03,57
2020-03-04,54
2020-03-05,61
2020-03-06,66
2020-03-07,77
2020-03-08,62
2020-03-09,47
2020-03-10,56
2020-03-11,55
2020-03-12,50
2020-03-13,63
2020-03-14,87
2020-03-15,44
2020-03-16,23
2020-03-17,22
2020-03-18,23
2020-03-19,22
2020-03-20,22
2020-03-21,27
2020-03-22,25
2020-03-23,24
2020-03-24,23
2020-03-25,22
2020-03-26,24
2020-03-27,20
2020-03-28,26
2020-03-29,26
2020-03-30,27
2020-03-31,24
2020-04-01,25
2020-04-02,23
2020-04-03,25
2020-04-04,29
2020-04-05,28
2020-04-06,26
2020-04-07,24
2020-04-08,26
2020-04-09,27
2020-04-10,26
2020-04-11,32
2020-04-12,30
2020-04-13,31
2020-04-14,30
2020-04-15,27
2020-04-16,28
2020-04-17,27
2020-04-18,29
2020-04-19,34
2020-04-20,29
2020-04-21,26
2020-04-22,32
2020-04-23,28
2020-04-24,29
2020-04-25,33
2020-04-26,32
2020-04-27,28
2020-04-28,27
2020-04-29,26
2020-04-30,28
2020-05-01,32
2020-05-02,30
2020-05-03,30
2020-05-04,27
2020-05-05,28
2020-05-06,27
2020-05-07,30
2020-05-08,35
2020-05-09,33
2020-05-10,32
2020-05-11,34
2020-05-12,33
2020-05-13,32
2020-05-14,34
2020-05-15,35
2020-05-16,41
2020-05-17,41
2020-05-18,34
2020-05-19,34
2020-05-20,34
2020-05-21,43
2020-05-22,35
2020-05-23,40
2020-05-24,42
2020-05-25,39
2020-05-26,35
2020-05-27,39
2020-05-28,46
2020-05-29,46
2020-05-30,44
2020-05-31,49
2020-06-01,50
2020-06-02,57
2020-06-03,53
2020-06-04,50
2020-06-05,56
2020-06-06,73
2020-06-07,60
2020-06-08,50
2020-06-09,52
2020-06-10,55
2020-06-11,59
2020-06-12,72
2020-06-13,80
2020-06-14,64
2020-06-15,58
2020-06-16,58
2020-06-17,59
2020-06-18,60
2020-06-19,64
2020-06-20,87
2020-06-21,74
2020-06-22,61
2020-06-23,60
2020-06-24,61
2020-06-25,64
2020-06-26,65
2020-06-27,82
2020-06-28,67
2020-06-29,58
2020-06-30,57
2020-07-01,61
2020-07-02,66
2020-07-03,73
2020-07-04,83
2020-07-05,71
2020-07-06,60
2020-07-07,59
2020-07-08,65
2020-07-09,67
2020-07-10,73
2020-07-11,84
2020-07-12,80
2020-07-13,78
2020-07-14,78
2020-07-15,63
2020-07-16,64
2020-07-17,75
2020-07-18,83
2020-07-19,73
2020-07-20,62
2020-07-21,68
2020-07-22,67
2020-07-23,69
2020-07-24,73
2020-07-25,84
2020-07-26,78
2020-07-27,68
2020-07-28,68
2020-07-29,68
2020-07-30,65
2020-07-31,67
2020-08-01,85
2020-08-02,77
2020-08-03,72
2020-08-04,71
2020-08-05,75
2020-08-06,75
2020-08-07,84
2020-08-08,91
2020-08-09,83
2020-08-10,73
2020-08-11,74
2020-08-12,82
2020-08-13,70
2020-08-14,80
2020-08-15,100
2020-08-16,79
2020-08-17,76
2020-08-18,85
