Category: All categories

Week,DIY: (Germany)
2019-08-25,49
2019-09-01,50
2019-09-08,48
2019-09-15,50
2019-09-22,53
2019-09-29,57
2019-10-06,57
2019-10-13,59
2019-10-20,60
2019-10-27,64
2019-11-03,60
2019-11-10,62
2019-11-17,66
2019-11-24,63
2019-12-01,61
2019-12-08,64
2019-12-15,70
2019-12-22,62
2019-12-29,59
2020-01-05,57
2020-01-12,56
2020-01-19,56
2020-01-26,58
2020-02-02,58
2020-02-09,62
2020-02-16,65
2020-02-23,54
2020-03-01,51
2020-03-08,47
2020-03-15,58
2020-03-22,78
2020-03-29,93
2020-04-05,100
2020-04-12,88
2020-04-19,87
2020-04-26,86
2020-05-03,82
2020-05-10,74
2020-05-17,74
2020-05-24,64
2020-05-31,66
2020-06-07,62
2020-06-14,62
2020-06-21,55
2020-06-28,54
2020-07-05,56
2020-07-12,54
2020-07-19,53
2020-07-26,55
2020-08-02,57
2020-08-09,57
2020-08-16,54
