Category: All categories

Day,restaurant: (Germany)
2020-01-12,76
2020-01-13,55
2020-01-14,56
2020-01-15,56
2020-01-16,56
2020-01-17,69
2020-01-18,80
2020-01-19,79
2020-01-20,53
2020-01-21,53
2020-01-22,54
2020-01-23,59
2020-01-24,66
2020-01-25,80
2020-01-26,73
2020-01-27,52
2020-01-28,52
2020-01-29,55
2020-01-30,57
2020-01-31,69
2020-02-01,85
2020-02-02,76
2020-02-03,53
2020-02-04,53
2020-02-05,55
2020-02-06,58
2020-02-07,68
2020-02-08,80
2020-02-09,64
2020-02-10,50
2020-02-11,59
2020-02-12,64
2020-02-13,71
2020-02-14,95
2020-02-15,89
2020-02-16,83
2020-02-17,56
2020-02-18,54
2020-02-19,56
2020-02-20,55
2020-02-21,69
2020-02-22,78
2020-02-23,77
2020-02-24,54
2020-02-25,54
2020-02-26,52
2020-02-27,54
2020-02-28,55
2020-02-29,72
2020-03-01,73
2020-03-02,48
2020-03-03,56
2020-03-04,52
2020-03-05,56
2020-03-06,62
2020-03-07,77
2020-03-08,77
2020-03-09,46
2020-03-10,44
2020-03-11,41
2020-03-12,37
2020-03-13,39
2020-03-14,52
2020-03-15,54
2020-03-16,39
2020-03-17,38
2020-03-18,27
2020-03-19,23
2020-03-20,25
2020-03-21,26
2020-03-22,25
2020-03-23,19
2020-03-24,17
2020-03-25,18
2020-03-26,20
2020-03-27,22
2020-03-28,24
2020-03-29,28
2020-03-30,17
2020-03-31,19
2020-04-01,19
2020-04-02,23
2020-04-03,24
2020-04-04,25
2020-04-05,27
2020-04-06,18
2020-04-07,19
2020-04-08,21
2020-04-09,22
2020-04-10,24
2020-04-11,22
2020-04-12,24
2020-04-13,26
2020-04-14,19
2020-04-15,20
2020-04-16,20
2020-04-17,21
2020-04-18,23
2020-04-19,27
2020-04-20,17
2020-04-21,16
2020-04-22,18
2020-04-23,18
2020-04-24,21
2020-04-25,25
2020-04-26,29
2020-04-27,17
2020-04-28,20
2020-04-29,20
2020-04-30,21
2020-05-01,32
2020-05-02,27
2020-05-03,33
2020-05-04,22
2020-05-05,25
2020-05-06,32
2020-05-07,31
2020-05-08,35
2020-05-09,37
2020-05-10,43
2020-05-11,35
2020-05-12,35
2020-05-13,37
2020-05-14,37
2020-05-15,43
2020-05-16,50
2020-05-17,57
2020-05-18,42
2020-05-19,46
2020-05-20,47
2020-05-21,60
2020-05-22,48
2020-05-23,63
2020-05-24,58
2020-05-25,41
2020-05-26,43
2020-05-27,44
2020-05-28,45
2020-05-29,53
2020-05-30,62
2020-05-31,69
2020-06-01,70
2020-06-02,45
2020-06-03,48
2020-06-04,49
2020-06-05,55
2020-06-06,63
2020-06-07,69
2020-06-08,49
2020-06-09,52
2020-06-10,54
2020-06-11,67
2020-06-12,62
2020-06-13,67
2020-06-14,68
2020-06-15,51
2020-06-16,52
2020-06-17,51
2020-06-18,53
2020-06-19,60
2020-06-20,74
2020-06-21,74
2020-06-22,53
2020-06-23,53
2020-06-24,55
2020-06-25,57
2020-06-26,61
2020-06-27,74
2020-06-28,75
2020-06-29,55
2020-06-30,60
2020-07-01,57
2020-07-02,57
2020-07-03,69
2020-07-04,85
2020-07-05,87
2020-07-06,62
2020-07-07,64
2020-07-08,65
2020-07-09,64
2020-07-10,72
2020-07-11,93
2020-07-12,93
2020-07-13,66
2020-07-14,66
2020-07-15,68
2020-07-16,66
2020-07-17,74
2020-07-18,92
2020-07-19,96
2020-07-20,71
2020-07-21,71
2020-07-22,72
2020-07-23,76
2020-07-24,78
2020-07-25,100
2020-07-26,95
2020-07-27,72
2020-07-28,75
2020-07-29,71
2020-07-30,70
2020-07-31,76
2020-08-01,95
2020-08-02,100
2020-08-03,73
2020-08-04,75
2020-08-05,74
2020-08-06,73
2020-08-07,78
2020-08-08,90
2020-08-09,90
2020-08-10,68
2020-08-11,67
2020-08-12,67
2020-08-13,67
2020-08-14,71
2020-08-15,92
2020-08-16,98
2020-08-17,69
2020-08-18,68
