Category: All categories

Week,Homeschooling: (Germany)
2019-08-25,3
2019-09-01,1
2019-09-08,3
2019-09-15,6
2019-09-22,3
2019-09-29,4
2019-10-06,2
2019-10-13,5
2019-10-20,3
2019-10-27,3
2019-11-03,4
2019-11-10,3
2019-11-17,4
2019-11-24,2
2019-12-01,4
2019-12-08,3
2019-12-15,5
2019-12-22,2
2019-12-29,2
2020-01-05,3
2020-01-12,4
2020-01-19,2
2020-01-26,3
2020-02-02,3
2020-02-09,3
2020-02-16,4
2020-02-23,2
2020-03-01,5
2020-03-08,10
2020-03-15,50
2020-03-22,50
2020-03-29,57
2020-04-05,29
2020-04-12,45
2020-04-19,100
2020-04-26,80
2020-05-03,65
2020-05-10,64
2020-05-17,45
2020-05-24,54
2020-05-31,35
2020-06-07,33
2020-06-14,36
2020-06-21,29
2020-06-28,23
2020-07-05,19
2020-07-12,17
2020-07-19,13
2020-07-26,10
2020-08-02,14
2020-08-09,17
2020-08-16,11
