Category: All categories

Week,Bar: (Italy)
2019-08-25,80
2019-09-01,75
2019-09-08,77
2019-09-15,73
2019-09-22,74
2019-09-29,75
2019-10-06,73
2019-10-13,76
2019-10-20,71
2019-10-27,73
2019-11-03,67
2019-11-10,68
2019-11-17,68
2019-11-24,65
2019-12-01,66
2019-12-08,68
2019-12-15,70
2019-12-22,83
2019-12-29,88
2020-01-05,72
2020-01-12,68
2020-01-19,70
2020-01-26,68
2020-02-02,66
2020-02-09,68
2020-02-16,69
2020-02-23,68
2020-03-01,63
2020-03-08,57
2020-03-15,31
2020-03-22,27
2020-03-29,29
2020-04-05,31
2020-04-12,34
2020-04-19,42
2020-04-26,53
2020-05-03,57
2020-05-10,72
2020-05-17,73
2020-05-24,65
2020-05-31,73
2020-06-07,68
2020-06-14,73
2020-06-21,80
2020-06-28,77
2020-07-05,80
2020-07-12,79
2020-07-19,82
2020-07-26,82
2020-08-02,86
2020-08-09,100
2020-08-16,96
