Category: All categories

Week,Restaurants: (Italy)
2019-08-25,85
2019-09-01,82
2019-09-08,100
2019-09-15,93
2019-09-22,87
2019-09-29,81
2019-10-06,66
2019-10-13,73
2019-10-20,54
2019-10-27,51
2019-11-03,37
2019-11-10,36
2019-11-17,33
2019-11-24,29
2019-12-01,25
2019-12-08,24
2019-12-15,31
2019-12-22,48
2019-12-29,51
2020-01-05,31
2020-01-12,23
2020-01-19,24
2020-01-26,24
2020-02-02,26
2020-02-09,28
2020-02-16,32
2020-02-23,25
2020-03-01,13
2020-03-08,9
2020-03-15,6
2020-03-22,6
2020-03-29,5
2020-04-05,5
2020-04-12,4
2020-04-19,5
2020-04-26,3
2020-05-03,4
2020-05-10,6
2020-05-17,5
2020-05-24,6
2020-05-31,7
2020-06-07,7
2020-06-14,9
2020-06-21,12
2020-06-28,16
2020-07-05,20
2020-07-12,26
2020-07-19,29
2020-07-26,33
2020-08-02,40
2020-08-09,46
2020-08-16,43
