Category: All categories

Week,teaching online: (Italy)
2019-08-25,30
2019-09-01,29
2019-09-08,53
2019-09-15,19
2019-09-22,19
2019-09-29,38
2019-10-06,29
2019-10-13,19
2019-10-20,38
2019-10-27,19
2019-11-03,28
2019-11-10,19
2019-11-17,19
2019-11-24,0
2019-12-01,0
2019-12-08,20
2019-12-15,0
2019-12-22,23
2019-12-29,21
2020-01-05,38
2020-01-12,35
2020-01-19,55
2020-01-26,0
2020-02-02,18
2020-02-09,27
2020-02-16,0
2020-02-23,26
2020-03-01,46
2020-03-08,55
2020-03-15,100
2020-03-22,71
2020-03-29,47
2020-04-05,44
2020-04-12,83
2020-04-19,42
2020-04-26,64
2020-05-03,33
2020-05-10,27
2020-05-17,28
2020-05-24,23
2020-05-31,46
2020-06-07,17
2020-06-14,30
2020-06-21,43
2020-06-28,36
2020-07-05,37
2020-07-12,28
2020-07-19,29
2020-07-26,39
2020-08-02,32
2020-08-09,42
2020-08-16,0
