Category: All categories

Day,restaurant: (France)
2020-01-12,45
2020-01-13,40
2020-01-14,45
2020-01-15,44
2020-01-16,46
2020-01-17,56
2020-01-18,71
2020-01-19,49
2020-01-20,43
2020-01-21,46
2020-01-22,43
2020-01-23,46
2020-01-24,52
2020-01-25,66
2020-01-26,45
2020-01-27,47
2020-01-28,50
2020-01-29,46
2020-01-30,49
2020-01-31,57
2020-02-01,70
2020-02-02,49
2020-02-03,45
2020-02-04,48
2020-02-05,49
2020-02-06,53
2020-02-07,62
2020-02-08,74
2020-02-09,56
2020-02-10,52
2020-02-11,61
2020-02-12,61
2020-02-13,74
2020-02-14,98
2020-02-15,87
2020-02-16,56
2020-02-17,49
2020-02-18,50
2020-02-19,55
2020-02-20,55
2020-02-21,62
2020-02-22,74
2020-02-23,58
2020-02-24,46
2020-02-25,49
2020-02-26,48
2020-02-27,49
2020-02-28,53
2020-02-29,61
2020-03-01,45
2020-03-02,37
2020-03-03,41
2020-03-04,45
2020-03-05,44
2020-03-06,49
2020-03-07,61
2020-03-08,41
2020-03-09,38
2020-03-10,38
2020-03-11,37
2020-03-12,35
2020-03-13,37
2020-03-14,55
2020-03-15,26
2020-03-16,10
2020-03-17,9
2020-03-18,9
2020-03-19,8
2020-03-20,7
2020-03-21,8
2020-03-22,8
2020-03-23,7
2020-03-24,6
2020-03-25,9
2020-03-26,7
2020-03-27,8
2020-03-28,8
2020-03-29,9
2020-03-30,8
2020-03-31,8
2020-04-01,11
2020-04-02,8
2020-04-03,8
2020-04-04,10
2020-04-05,10
2020-04-06,9
2020-04-07,10
2020-04-08,11
2020-04-09,11
2020-04-10,10
2020-04-11,11
2020-04-12,9
2020-04-13,12
2020-04-14,11
2020-04-15,13
2020-04-16,12
2020-04-17,11
2020-04-18,17
2020-04-19,13
2020-04-20,12
2020-04-21,13
2020-04-22,17
2020-04-23,17
2020-04-24,17
2020-04-25,16
2020-04-26,14
2020-04-27,12
2020-04-28,15
2020-04-29,16
2020-04-30,14
2020-05-01,15
2020-05-02,16
2020-05-03,15
2020-05-04,12
2020-05-05,15
2020-05-06,21
2020-05-07,16
2020-05-08,16
2020-05-09,17
2020-05-10,15
2020-05-11,15
2020-05-12,15
2020-05-13,19
2020-05-14,21
2020-05-15,20
2020-05-16,22
2020-05-17,19
2020-05-18,17
2020-05-19,17
2020-05-20,21
2020-05-21,21
2020-05-22,19
2020-05-23,23
2020-05-24,22
2020-05-25,22
2020-05-26,19
2020-05-27,21
2020-05-28,30
2020-05-29,28
2020-05-30,28
2020-05-31,29
2020-06-01,33
2020-06-02,43
2020-06-03,47
2020-06-04,41
2020-06-05,47
2020-06-06,61
2020-06-07,50
2020-06-08,39
2020-06-09,41
2020-06-10,44
2020-06-11,43
2020-06-12,51
2020-06-13,62
2020-06-14,53
2020-06-15,47
2020-06-16,48
2020-06-17,55
2020-06-18,54
2020-06-19,61
2020-06-20,78
2020-06-21,62
2020-06-22,51
2020-06-23,55
2020-06-24,57
2020-06-25,58
2020-06-26,61
2020-06-27,80
2020-06-28,55
2020-06-29,49
2020-06-30,55
2020-07-01,56
2020-07-02,57
2020-07-03,63
2020-07-04,83
2020-07-05,73
2020-07-06,58
2020-07-07,63
2020-07-08,68
2020-07-09,66
2020-07-10,68
2020-07-11,95
2020-07-12,92
2020-07-13,82
2020-07-14,74
2020-07-15,59
2020-07-16,62
2020-07-17,68
2020-07-18,85
2020-07-19,75
2020-07-20,64
2020-07-21,66
2020-07-22,67
2020-07-23,68
2020-07-24,71
2020-07-25,90
2020-07-26,77
2020-07-27,64
2020-07-28,68
2020-07-29,70
2020-07-30,70
2020-07-31,73
2020-08-01,90
2020-08-02,83
2020-08-03,74
2020-08-04,79
2020-08-05,83
2020-08-06,83
2020-08-07,84
2020-08-08,99
2020-08-09,93
2020-08-10,81
2020-08-11,85
2020-08-12,84
2020-08-13,90
2020-08-14,89
2020-08-15,100
2020-08-16,87
2020-08-17,79
2020-08-18,80
