Category: All categories

Day,bar: (Germany)
2020-01-12,40
2020-01-13,33
2020-01-14,35
2020-01-15,39
2020-01-16,35
2020-01-17,48
2020-01-18,57
2020-01-19,40
2020-01-20,34
2020-01-21,34
2020-01-22,34
2020-01-23,38
2020-01-24,47
2020-01-25,56
2020-01-26,36
2020-01-27,31
2020-01-28,33
2020-01-29,34
2020-01-30,36
2020-01-31,46
2020-02-01,57
2020-02-02,40
2020-02-03,35
2020-02-04,36
2020-02-05,36
2020-02-06,37
2020-02-07,49
2020-02-08,53
2020-02-09,34
2020-02-10,29
2020-02-11,36
2020-02-12,35
2020-02-13,39
2020-02-14,50
2020-02-15,61
2020-02-16,41
2020-02-17,36
2020-02-18,39
2020-02-19,37
2020-02-20,100
2020-02-21,66
2020-02-22,68
2020-02-23,50
2020-02-24,40
2020-02-25,38
2020-02-26,35
2020-02-27,34
2020-02-28,44
2020-02-29,51
2020-03-01,38
2020-03-02,32
2020-03-03,30
2020-03-04,36
2020-03-05,36
2020-03-06,43
2020-03-07,53
2020-03-08,39
2020-03-09,31
2020-03-10,33
2020-03-11,29
2020-03-12,29
2020-03-13,29
2020-03-14,38
2020-03-15,28
2020-03-16,21
2020-03-17,21
2020-03-18,18
2020-03-19,18
2020-03-20,16
2020-03-21,19
2020-03-22,16
2020-03-23,15
2020-03-24,17
2020-03-25,17
2020-03-26,16
2020-03-27,17
2020-03-28,18
2020-03-29,18
2020-03-30,17
2020-03-31,17
2020-04-01,18
2020-04-02,17
2020-04-03,17
2020-04-04,21
2020-04-05,18
2020-04-06,16
2020-04-07,18
2020-04-08,18
2020-04-09,18
2020-04-10,20
2020-04-11,20
2020-04-12,22
2020-04-13,20
2020-04-14,19
2020-04-15,16
2020-04-16,19
2020-04-17,18
2020-04-18,23
2020-04-19,20
2020-04-20,17
2020-04-21,17
2020-04-22,17
2020-04-23,19
2020-04-24,18
2020-04-25,21
2020-04-26,21
2020-04-27,18
2020-04-28,17
2020-04-29,17
2020-04-30,18
2020-05-01,21
2020-05-02,21
2020-05-03,21
2020-05-04,17
2020-05-05,19
2020-05-06,20
2020-05-07,19
2020-05-08,21
2020-05-09,23
2020-05-10,23
2020-05-11,22
2020-05-12,24
2020-05-13,23
2020-05-14,25
2020-05-15,26
2020-05-16,29
2020-05-17,26
2020-05-18,27
2020-05-19,27
2020-05-20,27
2020-05-21,29
2020-05-22,30
2020-05-23,29
2020-05-24,30
2020-05-25,25
2020-05-26,26
2020-05-27,26
2020-05-28,29
2020-05-29,31
2020-05-30,35
2020-05-31,36
2020-06-01,32
2020-06-02,28
2020-06-03,29
2020-06-04,29
2020-06-05,32
2020-06-06,38
2020-06-07,35
2020-06-08,29
2020-06-09,32
2020-06-10,35
2020-06-11,38
2020-06-12,38
2020-06-13,41
2020-06-14,33
2020-06-15,32
2020-06-16,31
2020-06-17,32
2020-06-18,33
2020-06-19,40
2020-06-20,46
2020-06-21,35
2020-06-22,31
2020-06-23,33
2020-06-24,30
2020-06-25,31
2020-06-26,39
2020-06-27,44
2020-06-28,36
2020-06-29,32
2020-06-30,33
2020-07-01,33
2020-07-02,35
2020-07-03,40
2020-07-04,50
2020-07-05,37
2020-07-06,29
2020-07-07,32
2020-07-08,34
2020-07-09,36
2020-07-10,42
2020-07-11,49
2020-07-12,39
2020-07-13,33
2020-07-14,35
2020-07-15,36
2020-07-16,36
2020-07-17,42
2020-07-18,53
2020-07-19,40
2020-07-20,37
2020-07-21,38
2020-07-22,38
2020-07-23,39
2020-07-24,45
2020-07-25,54
2020-07-26,45
2020-07-27,38
2020-07-28,37
2020-07-29,37
2020-07-30,38
2020-07-31,45
2020-08-01,47
2020-08-02,37
2020-08-03,35
2020-08-04,37
2020-08-05,40
2020-08-06,41
2020-08-07,47
2020-08-08,54
2020-08-09,37
2020-08-10,34
2020-08-11,37
2020-08-12,43
2020-08-13,37
2020-08-14,48
2020-08-15,50
2020-08-16,40
2020-08-17,37
2020-08-18,37
