Category: All categories

Week,Sewing: (Germany)
2019-08-25,8
2019-09-01,8
2019-09-08,9
2019-09-15,9
2019-09-22,10
2019-09-29,11
2019-10-06,10
2019-10-13,10
2019-10-20,10
2019-10-27,11
2019-11-03,11
2019-11-10,11
2019-11-17,11
2019-11-24,9
2019-12-01,10
2019-12-08,10
2019-12-15,10
2019-12-22,9
2019-12-29,10
2020-01-05,10
2020-01-12,10
2020-01-19,11
2020-01-26,10
2020-02-02,11
2020-02-09,11
2020-02-16,11
2020-02-23,9
2020-03-01,10
2020-03-08,9
2020-03-15,14
2020-03-22,44
2020-03-29,78
2020-04-05,37
2020-04-12,53
2020-04-19,100
2020-04-26,51
2020-05-03,22
2020-05-10,20
2020-05-17,16
2020-05-24,14
2020-05-31,13
2020-06-07,13
2020-06-14,12
2020-06-21,10
2020-06-28,11
2020-07-05,12
2020-07-12,10
2020-07-19,10
2020-07-26,10
2020-08-02,10
2020-08-09,10
2020-08-16,11
