Category: All categories

Week,Homeschooling: (Germany)
2019-09-01,3
2019-09-08,4
2019-09-15,5
2019-09-22,5
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,3
2019-11-03,2
2019-11-10,3
2019-11-17,5
2019-11-24,2
2019-12-01,4
2019-12-08,7
2019-12-15,4
2019-12-22,2
2019-12-29,3
2020-01-05,3
2020-01-12,5
2020-01-19,3
2020-01-26,3
2020-02-02,4
2020-02-09,3
2020-02-16,4
2020-02-23,3
2020-03-01,4
2020-03-08,10
2020-03-15,56
2020-03-22,54
2020-03-29,73
2020-04-05,34
2020-04-12,55
2020-04-19,100
2020-04-26,93
2020-05-03,79
2020-05-10,71
2020-05-17,53
2020-05-24,56
2020-05-31,30
2020-06-07,41
2020-06-14,39
2020-06-21,34
2020-06-28,24
2020-07-05,27
2020-07-12,17
2020-07-19,16
2020-07-26,11
2020-08-02,12
2020-08-09,22
2020-08-16,15
2020-08-23,10
