Category: All categories

Day,cafe: (Worldwide)
2020-01-12,89
2020-01-13,70
2020-01-14,69
2020-01-15,73
2020-01-16,72
2020-01-17,78
2020-01-18,91
2020-01-19,89
2020-01-20,75
2020-01-21,71
2020-01-22,72
2020-01-23,72
2020-01-24,81
2020-01-25,93
2020-01-26,87
2020-01-27,71
2020-01-28,68
2020-01-29,70
2020-01-30,74
2020-01-31,80
2020-02-01,92
2020-02-02,86
2020-02-03,70
2020-02-04,71
2020-02-05,72
2020-02-06,73
2020-02-07,82
2020-02-08,91
2020-02-09,87
2020-02-10,70
2020-02-11,71
2020-02-12,75
2020-02-13,78
2020-02-14,90
2020-02-15,100
2020-02-16,96
2020-02-17,78
2020-02-18,75
2020-02-19,75
2020-02-20,77
2020-02-21,84
2020-02-22,97
2020-02-23,92
2020-02-24,75
2020-02-25,71
2020-02-26,71
2020-02-27,73
2020-02-28,80
2020-02-29,91
2020-03-01,90
2020-03-02,70
2020-03-03,70
2020-03-04,68
2020-03-05,72
2020-03-06,77
2020-03-07,93
2020-03-08,89
2020-03-09,67
2020-03-10,67
2020-03-11,63
2020-03-12,61
2020-03-13,63
2020-03-14,73
2020-03-15,67
2020-03-16,50
2020-03-17,49
2020-03-18,47
2020-03-19,46
2020-03-20,48
2020-03-21,54
2020-03-22,47
2020-03-23,40
2020-03-24,39
2020-03-25,39
2020-03-26,39
2020-03-27,42
2020-03-28,46
2020-03-29,44
2020-03-30,38
2020-03-31,40
2020-04-01,41
2020-04-02,41
2020-04-03,43
2020-04-04,48
2020-04-05,45
2020-04-06,38
2020-04-07,39
2020-04-08,39
2020-04-09,42
2020-04-10,45
2020-04-11,47
2020-04-12,42
2020-04-13,40
2020-04-14,41
2020-04-15,41
2020-04-16,43
2020-04-17,45
2020-04-18,52
2020-04-19,49
2020-04-20,40
2020-04-21,42
2020-04-22,42
2020-04-23,42
2020-04-24,46
2020-04-25,53
2020-04-26,50
2020-04-27,41
2020-04-28,43
2020-04-29,43
2020-04-30,44
2020-05-01,53
2020-05-02,57
2020-05-03,54
2020-05-04,43
2020-05-05,49
2020-05-06,47
2020-05-07,50
2020-05-08,54
2020-05-09,63
2020-05-10,63
2020-05-11,46
2020-05-12,47
2020-05-13,48
2020-05-14,48
2020-05-15,54
2020-05-16,64
2020-05-17,61
2020-05-18,50
2020-05-19,51
2020-05-20,53
2020-05-21,56
2020-05-22,58
2020-05-23,64
2020-05-24,66
2020-05-25,57
2020-05-26,54
2020-05-27,54
2020-05-28,56
2020-05-29,58
2020-05-30,69
2020-05-31,68
2020-06-01,57
2020-06-02,56
2020-06-03,57
2020-06-04,60
2020-06-05,62
2020-06-06,74
2020-06-07,75
2020-06-08,60
2020-06-09,61
2020-06-10,62
2020-06-11,65
2020-06-12,68
2020-06-13,76
2020-06-14,76
2020-06-15,60
2020-06-16,62
2020-06-17,62
2020-06-18,62
2020-06-19,70
2020-06-20,80
2020-06-21,79
2020-06-22,62
2020-06-23,62
2020-06-24,64
2020-06-25,66
2020-06-26,70
2020-06-27,79
2020-06-28,79
2020-06-29,66
2020-06-30,64
2020-07-01,65
2020-07-02,66
2020-07-03,74
2020-07-04,80
2020-07-05,82
2020-07-06,66
2020-07-07,68
2020-07-08,67
2020-07-09,68
2020-07-10,74
2020-07-11,82
2020-07-12,83
2020-07-13,65
2020-07-14,66
2020-07-15,66
2020-07-16,67
2020-07-17,74
2020-07-18,84
2020-07-19,88
2020-07-20,70
2020-07-21,68
2020-07-22,69
2020-07-23,76
2020-07-24,85
2020-07-25,95
2020-07-26,97
2020-07-27,69
2020-07-28,68
2020-07-29,67
2020-07-30,68
2020-07-31,77
2020-08-01,86
2020-08-02,87
2020-08-03,71
2020-08-04,69
2020-08-05,71
2020-08-06,71
2020-08-07,74
2020-08-08,89
2020-08-09,87
2020-08-10,68
2020-08-11,69
2020-08-12,71
2020-08-13,70
2020-08-14,75
2020-08-15,89
2020-08-16,87
2020-08-17,71
2020-08-18,71
