Category: All categories

Week,DIY: (Worldwide)
2019-08-25,54
2019-09-01,55
2019-09-08,55
2019-09-15,56
2019-09-22,56
2019-09-29,59
2019-10-06,61
2019-10-13,64
2019-10-20,75
2019-10-27,77
2019-11-03,56
2019-11-10,58
2019-11-17,59
2019-11-24,58
2019-12-01,62
2019-12-08,60
2019-12-15,59
2019-12-22,55
2019-12-29,57
2020-01-05,52
2020-01-12,53
2020-01-19,53
2020-01-26,52
2020-02-02,54
2020-02-09,56
2020-02-16,55
2020-02-23,53
2020-03-01,55
2020-03-08,54
2020-03-15,66
2020-03-22,82
2020-03-29,92
2020-04-05,100
2020-04-12,94
2020-04-19,93
2020-04-26,94
2020-05-03,96
2020-05-10,85
2020-05-17,85
2020-05-24,81
2020-05-31,75
2020-06-07,73
2020-06-14,75
2020-06-21,70
2020-06-28,68
2020-07-05,67
2020-07-12,67
2020-07-19,66
2020-07-26,66
2020-08-02,65
2020-08-09,64
2020-08-16,65
