Category: All categories

Week,Bar: (India)
2019-09-01,60
2019-09-08,68
2019-09-15,64
2019-09-22,65
2019-09-29,62
2019-10-06,62
2019-10-13,62
2019-10-20,57
2019-10-27,60
2019-11-03,71
2019-11-10,65
2019-11-17,65
2019-11-24,65
2019-12-01,63
2019-12-08,61
2019-12-15,60
2019-12-22,61
2019-12-29,65
2020-01-05,60
2020-01-12,57
2020-01-19,59
2020-01-26,58
2020-02-02,59
2020-02-09,62
2020-02-16,62
2020-02-23,64
2020-03-01,61
2020-03-08,57
2020-03-15,52
2020-03-22,39
2020-03-29,43
2020-04-05,46
2020-04-12,46
2020-04-19,100
2020-04-26,89
2020-05-03,55
2020-05-10,52
2020-05-17,52
2020-05-24,51
2020-05-31,48
2020-06-07,51
2020-06-14,48
2020-06-21,51
2020-06-28,52
2020-07-05,54
2020-07-12,54
2020-07-19,55
2020-07-26,55
2020-08-02,54
2020-08-09,60
2020-08-16,62
2020-08-23,64
