Category: All categories

Week,Cafe: (India)
2019-09-01,73
2019-09-08,78
2019-09-15,78
2019-09-22,78
2019-09-29,74
2019-10-06,76
2019-10-13,72
2019-10-20,70
2019-10-27,74
2019-11-03,77
2019-11-10,77
2019-11-17,77
2019-11-24,80
2019-12-01,78
2019-12-08,76
2019-12-15,79
2019-12-22,96
2019-12-29,100
2020-01-05,75
2020-01-12,75
2020-01-19,75
2020-01-26,74
2020-02-02,72
2020-02-09,82
2020-02-16,79
2020-02-23,76
2020-03-01,72
2020-03-08,72
2020-03-15,54
2020-03-22,24
2020-03-29,26
2020-04-05,22
2020-04-12,24
2020-04-19,25
2020-04-26,24
2020-05-03,24
2020-05-10,25
2020-05-17,26
2020-05-24,26
2020-05-31,27
2020-06-07,32
2020-06-14,29
2020-06-21,31
2020-06-28,31
2020-07-05,30
2020-07-12,30
2020-07-19,31
2020-07-26,33
2020-08-02,36
2020-08-09,40
2020-08-16,43
2020-08-23,49
