Category: All categories

Week,DIY: (India)
2019-09-01,59
2019-09-08,59
2019-09-15,54
2019-09-22,57
2019-09-29,60
2019-10-06,53
2019-10-13,52
2019-10-20,67
2019-10-27,54
2019-11-03,56
2019-11-10,56
2019-11-17,54
2019-11-24,55
2019-12-01,58
2019-12-08,64
2019-12-15,62
2019-12-22,61
2019-12-29,56
2020-01-05,50
2020-01-12,49
2020-01-19,51
2020-01-26,53
2020-02-02,47
2020-02-09,52
2020-02-16,52
2020-02-23,53
2020-03-01,54
2020-03-08,60
2020-03-15,79
2020-03-22,89
2020-03-29,91
2020-04-05,100
2020-04-12,95
2020-04-19,98
2020-04-26,94
2020-05-03,100
2020-05-10,92
2020-05-17,95
2020-05-24,90
2020-05-31,93
2020-06-07,87
2020-06-14,88
2020-06-21,86
2020-06-28,93
2020-07-05,86
2020-07-12,82
2020-07-19,88
2020-07-26,90
2020-08-02,86
2020-08-09,88
2020-08-16,86
2020-08-23,92
