Category: All categories

Week,Restaurant: (India)
2019-09-01,75
2019-09-08,80
2019-09-15,76
2019-09-22,75
2019-09-29,74
2019-10-06,81
2019-10-13,73
2019-10-20,69
2019-10-27,82
2019-11-03,74
2019-11-10,75
2019-11-17,75
2019-11-24,78
2019-12-01,78
2019-12-08,76
2019-12-15,75
2019-12-22,92
2019-12-29,100
2020-01-05,73
2020-01-12,73
2020-01-19,70
2020-01-26,69
2020-02-02,69
2020-02-09,78
2020-02-16,74
2020-02-23,73
2020-03-01,66
2020-03-08,66
2020-03-15,45
2020-03-22,20
2020-03-29,19
2020-04-05,20
2020-04-12,20
2020-04-19,20
2020-04-26,19
2020-05-03,21
2020-05-10,22
2020-05-17,23
2020-05-24,25
2020-05-31,27
2020-06-07,32
2020-06-14,29
2020-06-21,31
2020-06-28,31
2020-07-05,30
2020-07-12,28
2020-07-19,28
2020-07-26,31
2020-08-02,35
2020-08-09,36
2020-08-16,37
2020-08-23,49
