Category: All categories

Week,Sewing: (India)
2019-09-01,60
2019-09-08,69
2019-09-15,61
2019-09-22,66
2019-09-29,62
2019-10-06,63
2019-10-13,68
2019-10-20,64
2019-10-27,55
2019-11-03,55
2019-11-10,63
2019-11-17,61
2019-11-24,61
2019-12-01,57
2019-12-08,59
2019-12-15,57
2019-12-22,56
2019-12-29,60
2020-01-05,56
2020-01-12,57
2020-01-19,59
2020-01-26,54
2020-02-02,59
2020-02-09,57
2020-02-16,58
2020-02-23,62
2020-03-01,54
2020-03-08,66
2020-03-15,70
2020-03-22,49
2020-03-29,54
2020-04-05,63
2020-04-12,61
2020-04-19,60
2020-04-26,58
2020-05-03,59
2020-05-10,61
2020-05-17,68
2020-05-24,70
2020-05-31,76
2020-06-07,90
2020-06-14,78
2020-06-21,81
2020-06-28,84
2020-07-05,85
2020-07-12,85
2020-07-19,81
2020-07-26,79
2020-08-02,80
2020-08-09,91
2020-08-16,92
2020-08-23,100
