Category: All categories

Week,Cafe: (Indonesia)
2019-09-01,62
2019-09-08,60
2019-09-15,61
2019-09-22,58
2019-09-29,63
2019-10-06,63
2019-10-13,61
2019-10-20,61
2019-10-27,62
2019-11-03,65
2019-11-10,62
2019-11-17,62
2019-11-24,61
2019-12-01,63
2019-12-08,65
2019-12-15,72
2019-12-22,100
2019-12-29,94
2020-01-05,67
2020-01-12,67
2020-01-19,65
2020-01-26,65
2020-02-02,64
2020-02-09,64
2020-02-16,61
2020-02-23,61
2020-03-01,60
2020-03-08,59
2020-03-15,37
2020-03-22,24
2020-03-29,21
2020-04-05,22
2020-04-12,22
2020-04-19,20
2020-04-26,19
2020-05-03,22
2020-05-10,24
2020-05-17,24
2020-05-24,32
2020-05-31,34
2020-06-07,39
2020-06-14,46
2020-06-21,51
2020-06-28,58
2020-07-05,60
2020-07-12,55
2020-07-19,52
2020-07-26,58
2020-08-02,58
2020-08-09,58
2020-08-16,81
2020-08-23,83
