Category: All categories

Week,Restaurant: (Indonesia)
2019-09-01,83
2019-09-08,80
2019-09-15,79
2019-09-22,78
2019-09-29,80
2019-10-06,82
2019-10-13,76
2019-10-20,75
2019-10-27,76
2019-11-03,77
2019-11-10,76
2019-11-17,74
2019-11-24,75
2019-12-01,74
2019-12-08,75
2019-12-15,88
2019-12-22,100
2019-12-29,92
2020-01-05,71
2020-01-12,74
2020-01-19,82
2020-01-26,77
2020-02-02,73
2020-02-09,72
2020-02-16,74
2020-02-23,67
2020-03-01,62
2020-03-08,59
2020-03-15,37
2020-03-22,30
2020-03-29,29
2020-04-05,26
2020-04-12,32
2020-04-19,26
2020-04-26,27
2020-05-03,24
2020-05-10,27
2020-05-17,29
2020-05-24,31
2020-05-31,32
2020-06-07,31
2020-06-14,41
2020-06-21,43
2020-06-28,41
2020-07-05,43
2020-07-12,39
2020-07-19,38
2020-07-26,39
2020-08-02,47
2020-08-09,45
2020-08-16,47
2020-08-23,50
