Category: All categories

Week,Bar: (Iran)
2019-09-01,55
2019-09-08,57
2019-09-15,45
2019-09-22,49
2019-09-29,56
2019-10-06,60
2019-10-13,52
2019-10-20,51
2019-10-27,57
2019-11-03,95
2019-11-10,42
2019-11-17,100
2019-11-24,58
2019-12-01,48
2019-12-08,46
2019-12-15,53
2019-12-22,50
2019-12-29,47
2020-01-05,50
2020-01-12,41
2020-01-19,52
2020-01-26,44
2020-02-02,53
2020-02-09,36
2020-02-16,42
2020-02-23,40
2020-03-01,39
2020-03-08,46
2020-03-15,41
2020-03-22,39
2020-03-29,36
2020-04-05,38
2020-04-12,39
2020-04-19,36
2020-04-26,37
2020-05-03,35
2020-05-10,36
2020-05-17,41
2020-05-24,34
2020-05-31,41
2020-06-07,40
2020-06-14,44
2020-06-21,47
2020-06-28,40
2020-07-05,40
2020-07-12,30
2020-07-19,42
2020-07-26,39
2020-08-02,44
2020-08-09,36
2020-08-16,33
2020-08-23,37
