Category: All categories

Week,Cafe: (Iran)
2019-09-01,60
2019-09-08,57
2019-09-15,59
2019-09-22,55
2019-09-29,62
2019-10-06,56
2019-10-13,52
2019-10-20,61
2019-10-27,59
2019-11-03,56
2019-11-10,45
2019-11-17,100
2019-11-24,53
2019-12-01,41
2019-12-08,51
2019-12-15,45
2019-12-22,49
2019-12-29,47
2020-01-05,41
2020-01-12,42
2020-01-19,47
2020-01-26,41
2020-02-02,49
2020-02-09,47
2020-02-16,40
2020-02-23,35
2020-03-01,37
2020-03-08,41
2020-03-15,26
2020-03-22,36
2020-03-29,35
2020-04-05,36
2020-04-12,29
2020-04-19,28
2020-04-26,29
2020-05-03,26
2020-05-10,33
2020-05-17,30
2020-05-24,33
2020-05-31,28
2020-06-07,34
2020-06-14,30
2020-06-21,37
2020-06-28,34
2020-07-05,27
2020-07-12,37
2020-07-19,41
2020-07-26,37
2020-08-02,36
2020-08-09,42
2020-08-16,24
2020-08-23,43
