Category: All categories

Week,Restaurant: (Iran)
2019-09-01,73
2019-09-08,72
2019-09-15,71
2019-09-22,86
2019-09-29,61
2019-10-06,62
2019-10-13,76
2019-10-20,77
2019-10-27,60
2019-11-03,50
2019-11-10,66
2019-11-17,100
2019-11-24,67
2019-12-01,66
2019-12-08,43
2019-12-15,50
2019-12-22,62
2019-12-29,49
2020-01-05,41
2020-01-12,61
2020-01-19,62
2020-01-26,54
2020-02-02,48
2020-02-09,58
2020-02-16,49
2020-02-23,33
2020-03-01,32
2020-03-08,35
2020-03-15,24
2020-03-22,34
2020-03-29,30
2020-04-05,24
2020-04-12,27
2020-04-19,33
2020-04-26,24
2020-05-03,24
2020-05-10,31
2020-05-17,21
2020-05-24,32
2020-05-31,35
2020-06-07,29
2020-06-14,42
2020-06-21,29
2020-06-28,27
2020-07-05,29
2020-07-12,25
2020-07-19,34
2020-07-26,27
2020-08-02,42
2020-08-09,41
2020-08-16,35
2020-08-23,56
