Category: All categories

Week,Cafe: (Italy)
2019-08-25,90
2019-09-01,97
2019-09-08,94
2019-09-15,88
2019-09-22,94
2019-09-29,97
2019-10-06,96
2019-10-13,92
2019-10-20,90
2019-10-27,93
2019-11-03,83
2019-11-10,83
2019-11-17,80
2019-11-24,76
2019-12-01,80
2019-12-08,77
2019-12-15,85
2019-12-22,95
2019-12-29,100
2020-01-05,81
2020-01-12,82
2020-01-19,78
2020-01-26,75
2020-02-02,79
2020-02-09,81
2020-02-16,82
2020-02-23,66
2020-03-01,67
2020-03-08,46
2020-03-15,38
2020-03-22,39
2020-03-29,44
2020-04-05,45
2020-04-12,49
2020-04-19,46
2020-04-26,50
2020-05-03,53
2020-05-10,51
2020-05-17,58
2020-05-24,62
2020-05-31,71
2020-06-07,74
2020-06-14,75
2020-06-21,75
2020-06-28,74
2020-07-05,81
2020-07-12,79
2020-07-19,82
2020-07-26,84
2020-08-02,81
2020-08-09,89
2020-08-16,86
