Category: All categories

Week,Bar: (Mexico)
2019-09-01,93
2019-09-08,93
2019-09-15,91
2019-09-22,90
2019-09-29,83
2019-10-06,82
2019-10-13,82
2019-10-20,85
2019-10-27,84
2019-11-03,90
2019-11-10,78
2019-11-17,89
2019-11-24,85
2019-12-01,93
2019-12-08,96
2019-12-15,92
2019-12-22,91
2019-12-29,100
2020-01-05,85
2020-01-12,96
2020-01-19,91
2020-01-26,90
2020-02-02,87
2020-02-09,99
2020-02-16,88
2020-02-23,93
2020-03-01,85
2020-03-08,81
2020-03-15,62
2020-03-22,49
2020-03-29,43
2020-04-05,45
2020-04-12,41
2020-04-19,37
2020-04-26,38
2020-05-03,39
2020-05-10,41
2020-05-17,46
2020-05-24,42
2020-05-31,40
2020-06-07,42
2020-06-14,49
2020-06-21,48
2020-06-28,51
2020-07-05,53
2020-07-12,53
2020-07-19,51
2020-07-26,49
2020-08-02,51
2020-08-09,54
2020-08-16,53
2020-08-23,65
