Category: All categories

Week,Restaurant: (Mexico)
2019-09-01,67
2019-09-08,67
2019-09-15,68
2019-09-22,66
2019-09-29,68
2019-10-06,62
2019-10-13,61
2019-10-20,64
2019-10-27,66
2019-11-03,72
2019-11-10,74
2019-11-17,75
2019-11-24,75
2019-12-01,73
2019-12-08,81
2019-12-15,89
2019-12-22,97
2019-12-29,100
2020-01-05,79
2020-01-12,72
2020-01-19,73
2020-01-26,72
2020-02-02,71
2020-02-09,83
2020-02-16,75
2020-02-23,71
2020-03-01,70
2020-03-08,64
2020-03-15,49
2020-03-22,32
2020-03-29,29
2020-04-05,31
2020-04-12,31
2020-04-19,28
2020-04-26,27
2020-05-03,30
2020-05-10,33
2020-05-17,30
2020-05-24,30
2020-05-31,29
2020-06-07,34
2020-06-14,39
2020-06-21,40
2020-06-28,39
2020-07-05,40
2020-07-12,41
2020-07-19,43
2020-07-26,45
2020-08-02,45
2020-08-09,46
2020-08-16,45
2020-08-23,54
