Category: All categories

Week,Cafe: (Netherlands)
2019-09-01,65
2019-09-08,69
2019-09-15,70
2019-09-22,68
2019-09-29,68
2019-10-06,71
2019-10-13,75
2019-10-20,75
2019-10-27,70
2019-11-03,70
2019-11-10,70
2019-11-17,76
2019-11-24,68
2019-12-01,63
2019-12-08,68
2019-12-15,68
2019-12-22,100
2019-12-29,94
2020-01-05,67
2020-01-12,65
2020-01-19,70
2020-01-26,65
2020-02-02,68
2020-02-09,67
2020-02-16,76
2020-02-23,75
2020-03-01,67
2020-03-08,58
2020-03-15,31
2020-03-22,24
2020-03-29,28
2020-04-05,26
2020-04-12,27
2020-04-19,27
2020-04-26,29
2020-05-03,31
2020-05-10,31
2020-05-17,36
2020-05-24,42
2020-05-31,65
2020-06-07,59
2020-06-14,57
2020-06-21,58
2020-06-28,63
2020-07-05,63
2020-07-12,66
2020-07-19,68
2020-07-26,72
2020-08-02,67
2020-08-09,67
2020-08-16,66
2020-08-23,69
