Category: All categories

Week,DIY: (Netherlands)
2019-09-01,47
2019-09-08,47
2019-09-15,48
2019-09-22,47
2019-09-29,52
2019-10-06,49
2019-10-13,43
2019-10-20,52
2019-10-27,53
2019-11-03,52
2019-11-10,51
2019-11-17,59
2019-11-24,51
2019-12-01,55
2019-12-08,49
2019-12-15,50
2019-12-22,49
2019-12-29,47
2020-01-05,44
2020-01-12,48
2020-01-19,53
2020-01-26,43
2020-02-02,48
2020-02-09,51
2020-02-16,55
2020-02-23,51
2020-03-01,46
2020-03-08,51
2020-03-15,69
2020-03-22,81
2020-03-29,85
2020-04-05,79
2020-04-12,92
2020-04-19,79
2020-04-26,100
2020-05-03,85
2020-05-10,75
2020-05-17,74
2020-05-24,74
2020-05-31,64
2020-06-07,66
2020-06-14,66
2020-06-21,54
2020-06-28,56
2020-07-05,58
2020-07-12,54
2020-07-19,54
2020-07-26,57
2020-08-02,59
2020-08-09,54
2020-08-16,58
2020-08-23,64
