Category: All categories

Week,Restaurant: (Netherlands)
2019-09-01,72
2019-09-08,70
2019-09-15,73
2019-09-22,72
2019-09-29,74
2019-10-06,74
2019-10-13,80
2019-10-20,87
2019-10-27,76
2019-11-03,76
2019-11-10,76
2019-11-17,74
2019-11-24,73
2019-12-01,71
2019-12-08,69
2019-12-15,68
2019-12-22,80
2019-12-29,79
2020-01-05,69
2020-01-12,75
2020-01-19,73
2020-01-26,74
2020-02-02,72
2020-02-09,79
2020-02-16,73
2020-02-23,75
2020-03-01,65
2020-03-08,54
2020-03-15,30
2020-03-22,25
2020-03-29,27
2020-04-05,25
2020-04-12,26
2020-04-19,26
2020-04-26,30
2020-05-03,33
2020-05-10,34
2020-05-17,37
2020-05-24,40
2020-05-31,60
2020-06-07,63
2020-06-14,69
2020-06-21,76
2020-06-28,81
2020-07-05,86
2020-07-12,91
2020-07-19,100
2020-07-26,99
2020-08-02,98
2020-08-09,93
2020-08-16,94
2020-08-23,98
