Category: All categories

Week,Sewing: (Netherlands)
2019-09-01,41
2019-09-08,51
2019-09-15,52
2019-09-22,54
2019-09-29,66
2019-10-06,54
2019-10-13,52
2019-10-20,50
2019-10-27,50
2019-11-03,57
2019-11-10,59
2019-11-17,43
2019-11-24,51
2019-12-01,54
2019-12-08,48
2019-12-15,56
2019-12-22,45
2019-12-29,49
2020-01-05,51
2020-01-12,51
2020-01-19,63
2020-01-26,45
2020-02-02,55
2020-02-09,57
2020-02-16,55
2020-02-23,59
2020-03-01,51
2020-03-08,49
2020-03-15,84
2020-03-22,86
2020-03-29,77
2020-04-05,67
2020-04-12,72
2020-04-19,82
2020-04-26,95
2020-05-03,100
2020-05-10,87
2020-05-17,88
2020-05-24,73
2020-05-31,67
2020-06-07,64
2020-06-14,62
2020-06-21,66
2020-06-28,69
2020-07-05,71
2020-07-12,76
2020-07-19,63
2020-07-26,66
2020-08-02,58
2020-08-09,54
2020-08-16,66
2020-08-23,80
