Category: All categories

Week,Homeschooling: (Netherlands)
2019-09-01,6
2019-09-08,4
2019-09-15,4
2019-09-22,4
2019-09-29,3
2019-10-06,3
2019-10-13,2
2019-10-20,2
2019-10-27,3
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,2
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,1
2019-12-29,4
2020-01-05,5
2020-01-12,4
2020-01-19,4
2020-01-26,5
2020-02-02,2
2020-02-09,2
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,6
2020-03-15,100
2020-03-22,46
2020-03-29,49
2020-04-05,31
2020-04-12,31
2020-04-19,23
2020-04-26,8
2020-05-03,15
2020-05-10,12
2020-05-17,12
2020-05-24,13
2020-05-31,9
2020-06-07,8
2020-06-14,9
2020-06-21,4
2020-06-28,6
2020-07-05,5
2020-07-12,5
2020-07-19,2
2020-07-26,2
2020-08-02,5
2020-08-09,2
2020-08-16,4
2020-08-23,8
