Category: All categories

Week,Bar: (Pakistan)
2019-09-01,52
2019-09-08,51
2019-09-15,59
2019-09-22,60
2019-09-29,57
2019-10-06,51
2019-10-13,55
2019-10-20,53
2019-10-27,65
2019-11-03,100
2019-11-10,57
2019-11-17,60
2019-11-24,62
2019-12-01,75
2019-12-08,58
2019-12-15,61
2019-12-22,54
2019-12-29,54
2020-01-05,58
2020-01-12,58
2020-01-19,56
2020-01-26,60
2020-02-02,54
2020-02-09,59
2020-02-16,54
2020-02-23,56
2020-03-01,58
2020-03-08,55
2020-03-15,52
2020-03-22,44
2020-03-29,51
2020-04-05,52
2020-04-12,50
2020-04-19,54
2020-04-26,53
2020-05-03,51
2020-05-10,53
2020-05-17,55
2020-05-24,42
2020-05-31,46
2020-06-07,54
2020-06-14,60
2020-06-21,56
2020-06-28,48
2020-07-05,53
2020-07-12,54
2020-07-19,58
2020-07-26,55
2020-08-02,55
2020-08-09,59
2020-08-16,63
2020-08-23,64
