Category: All categories

Week,Restaurant: (Pakistan)
2019-09-01,72
2019-09-08,74
2019-09-15,78
2019-09-22,77
2019-09-29,74
2019-10-06,82
2019-10-13,83
2019-10-20,79
2019-10-27,78
2019-11-03,84
2019-11-10,100
2019-11-17,85
2019-11-24,81
2019-12-01,76
2019-12-08,73
2019-12-15,81
2019-12-22,88
2019-12-29,91
2020-01-05,83
2020-01-12,88
2020-01-19,82
2020-01-26,80
2020-02-02,84
2020-02-09,86
2020-02-16,83
2020-02-23,76
2020-03-01,70
2020-03-08,65
2020-03-15,53
2020-03-22,29
2020-03-29,28
2020-04-05,28
2020-04-12,33
2020-04-19,30
2020-04-26,28
2020-05-03,32
2020-05-10,38
2020-05-17,45
2020-05-24,63
2020-05-31,43
2020-06-07,43
2020-06-14,44
2020-06-21,48
2020-06-28,52
2020-07-05,51
2020-07-12,54
2020-07-19,45
2020-07-26,49
2020-08-02,53
2020-08-09,78
2020-08-16,75
2020-08-23,86
