Category: All categories

Week,Bar: (Peru)
2019-09-01,77
2019-09-08,87
2019-09-15,84
2019-09-22,78
2019-09-29,87
2019-10-06,87
2019-10-13,75
2019-10-20,74
2019-10-27,83
2019-11-03,87
2019-11-10,84
2019-11-17,70
2019-11-24,84
2019-12-01,88
2019-12-08,84
2019-12-15,88
2019-12-22,86
2019-12-29,100
2020-01-05,80
2020-01-12,88
2020-01-19,84
2020-01-26,78
2020-02-02,87
2020-02-09,77
2020-02-16,88
2020-02-23,81
2020-03-01,81
2020-03-08,76
2020-03-15,31
2020-03-22,34
2020-03-29,27
2020-04-05,29
2020-04-12,26
2020-04-19,27
2020-04-26,28
2020-05-03,23
2020-05-10,33
2020-05-17,32
2020-05-24,30
2020-05-31,30
2020-06-07,32
2020-06-14,38
2020-06-21,35
2020-06-28,35
2020-07-05,38
2020-07-12,36
2020-07-19,35
2020-07-26,45
2020-08-02,37
2020-08-09,35
2020-08-16,33
2020-08-23,96
