Category: All categories

Week,Cafe: (Peru)
2019-09-01,97
2019-09-08,94
2019-09-15,100
2019-09-22,94
2019-09-29,85
2019-10-06,87
2019-10-13,84
2019-10-20,85
2019-10-27,78
2019-11-03,85
2019-11-10,85
2019-11-17,91
2019-11-24,90
2019-12-01,82
2019-12-08,80
2019-12-15,80
2019-12-22,75
2019-12-29,76
2020-01-05,83
2020-01-12,79
2020-01-19,80
2020-01-26,81
2020-02-02,79
2020-02-09,77
2020-02-16,82
2020-02-23,85
2020-03-01,74
2020-03-08,80
2020-03-15,53
2020-03-22,56
2020-03-29,66
2020-04-05,66
2020-04-12,54
2020-04-19,68
2020-04-26,68
2020-05-03,71
2020-05-10,69
2020-05-17,71
2020-05-24,71
2020-05-31,73
2020-06-07,73
2020-06-14,70
2020-06-21,74
2020-06-28,84
2020-07-05,76
2020-07-12,83
2020-07-19,77
2020-07-26,79
2020-08-02,75
2020-08-09,71
2020-08-16,81
2020-08-23,83
