Category: All categories

Week,Restaurant: (Peru)
2019-09-01,73
2019-09-08,72
2019-09-15,64
2019-09-22,76
2019-09-29,71
2019-10-06,94
2019-10-13,79
2019-10-20,78
2019-10-27,78
2019-11-03,78
2019-11-10,67
2019-11-17,77
2019-11-24,79
2019-12-01,79
2019-12-08,75
2019-12-15,78
2019-12-22,90
2019-12-29,100
2020-01-05,91
2020-01-12,81
2020-01-19,77
2020-01-26,75
2020-02-02,75
2020-02-09,82
2020-02-16,94
2020-02-23,82
2020-03-01,84
2020-03-08,65
2020-03-15,25
2020-03-22,20
2020-03-29,16
2020-04-05,17
2020-04-12,18
2020-04-19,22
2020-04-26,22
2020-05-03,21
2020-05-10,23
2020-05-17,23
2020-05-24,22
2020-05-31,25
2020-06-07,23
2020-06-14,24
2020-06-21,28
2020-06-28,29
2020-07-05,22
2020-07-12,31
2020-07-19,29
2020-07-26,35
2020-08-02,31
2020-08-09,30
2020-08-16,35
2020-08-23,28
