Category: All categories

Week,Sewing: (Peru)
2019-09-01,70
2019-09-08,61
2019-09-15,74
2019-09-22,59
2019-09-29,56
2019-10-06,54
2019-10-13,61
2019-10-20,62
2019-10-27,64
2019-11-03,58
2019-11-10,59
2019-11-17,59
2019-11-24,66
2019-12-01,53
2019-12-08,59
2019-12-15,51
2019-12-22,49
2019-12-29,57
2020-01-05,50
2020-01-12,56
2020-01-19,49
2020-01-26,63
2020-02-02,57
2020-02-09,52
2020-02-16,69
2020-02-23,68
2020-03-01,47
2020-03-08,46
2020-03-15,46
2020-03-22,63
2020-03-29,53
2020-04-05,58
2020-04-12,65
2020-04-19,76
2020-04-26,58
2020-05-03,73
2020-05-10,82
2020-05-17,66
2020-05-24,94
2020-05-31,78
2020-06-07,82
2020-06-14,80
2020-06-21,83
2020-06-28,87
2020-07-05,86
2020-07-12,79
2020-07-19,80
2020-07-26,100
2020-08-02,74
2020-08-09,85
2020-08-16,91
2020-08-23,75
