Category: All categories

Week,Bar: (Russia)
2019-09-01,66
2019-09-08,73
2019-09-15,72
2019-09-22,68
2019-09-29,72
2019-10-06,71
2019-10-13,64
2019-10-20,68
2019-10-27,79
2019-11-03,100
2019-11-10,65
2019-11-17,66
2019-11-24,62
2019-12-01,68
2019-12-08,66
2019-12-15,67
2019-12-22,67
2019-12-29,81
2020-01-05,69
2020-01-12,71
2020-01-19,65
2020-01-26,68
2020-02-02,60
2020-02-09,67
2020-02-16,70
2020-02-23,74
2020-03-01,76
2020-03-08,64
2020-03-15,55
2020-03-22,53
2020-03-29,40
2020-04-05,38
2020-04-12,40
2020-04-19,45
2020-04-26,37
2020-05-03,36
2020-05-10,40
2020-05-17,41
2020-05-24,46
2020-05-31,40
2020-06-07,45
2020-06-14,48
2020-06-21,56
2020-06-28,62
2020-07-05,70
2020-07-12,56
2020-07-19,67
2020-07-26,72
2020-08-02,73
2020-08-09,66
2020-08-16,64
2020-08-23,63
