Category: All categories

Week,Cafe: (Russia)
2019-09-01,81
2019-09-08,89
2019-09-15,83
2019-09-22,89
2019-09-29,86
2019-10-06,83
2019-10-13,91
2019-10-20,93
2019-10-27,80
2019-11-03,79
2019-11-10,78
2019-11-17,81
2019-11-24,79
2019-12-01,75
2019-12-08,78
2019-12-15,84
2019-12-22,86
2019-12-29,100
2020-01-05,87
2020-01-12,82
2020-01-19,81
2020-01-26,88
2020-02-02,88
2020-02-09,92
2020-02-16,87
2020-02-23,91
2020-03-01,95
2020-03-08,81
2020-03-15,64
2020-03-22,60
2020-03-29,46
2020-04-05,50
2020-04-12,46
2020-04-19,48
2020-04-26,49
2020-05-03,42
2020-05-10,56
2020-05-17,52
2020-05-24,56
2020-05-31,54
2020-06-07,58
2020-06-14,61
2020-06-21,70
2020-06-28,75
2020-07-05,71
2020-07-12,71
2020-07-19,73
2020-07-26,76
2020-08-02,78
2020-08-09,77
2020-08-16,77
2020-08-23,82
