Category: All categories

Week,Restaurant: (Russia)
2019-09-01,66
2019-09-08,73
2019-09-15,56
2019-09-22,79
2019-09-29,78
2019-10-06,72
2019-10-13,67
2019-10-20,71
2019-10-27,71
2019-11-03,72
2019-11-10,72
2019-11-17,69
2019-11-24,74
2019-12-01,69
2019-12-08,65
2019-12-15,83
2019-12-22,97
2019-12-29,100
2020-01-05,80
2020-01-12,68
2020-01-19,70
2020-01-26,81
2020-02-02,75
2020-02-09,73
2020-02-16,93
2020-02-23,90
2020-03-01,77
2020-03-08,62
2020-03-15,53
2020-03-22,52
2020-03-29,50
2020-04-05,46
2020-04-12,48
2020-04-19,47
2020-04-26,38
2020-05-03,39
2020-05-10,50
2020-05-17,43
2020-05-24,45
2020-05-31,57
2020-06-07,46
2020-06-14,53
2020-06-21,49
2020-06-28,50
2020-07-05,53
2020-07-12,48
2020-07-19,35
2020-07-26,41
2020-08-02,56
2020-08-09,46
2020-08-16,37
2020-08-23,27
