Category: All categories

Week,Sewing: (Russia)
2019-09-01,41
2019-09-08,47
2019-09-15,42
2019-09-22,45
2019-09-29,47
2019-10-06,50
2019-10-13,51
2019-10-20,47
2019-10-27,50
2019-11-03,50
2019-11-10,54
2019-11-17,54
2019-11-24,52
2019-12-01,55
2019-12-08,52
2019-12-15,57
2019-12-22,42
2019-12-29,35
2020-01-05,58
2020-01-12,54
2020-01-19,52
2020-01-26,51
2020-02-02,55
2020-02-09,48
2020-02-16,51
2020-02-23,51
2020-03-01,51
2020-03-08,44
2020-03-15,54
2020-03-22,65
2020-03-29,100
2020-04-05,70
2020-04-12,65
2020-04-19,67
2020-04-26,55
2020-05-03,56
2020-05-10,50
2020-05-17,48
2020-05-24,51
2020-05-31,49
2020-06-07,47
2020-06-14,49
2020-06-21,46
2020-06-28,51
2020-07-05,51
2020-07-12,47
2020-07-19,41
2020-07-26,45
2020-08-02,42
2020-08-09,48
2020-08-16,42
2020-08-23,38
