Category: All categories

Week,Bar: (South Africa)
2019-09-01,85
2019-09-08,85
2019-09-15,84
2019-09-22,84
2019-09-29,82
2019-10-06,90
2019-10-13,92
2019-10-20,86
2019-10-27,90
2019-11-03,93
2019-11-10,92
2019-11-17,100
2019-11-24,98
2019-12-01,94
2019-12-08,90
2019-12-15,100
2019-12-22,96
2019-12-29,88
2020-01-05,87
2020-01-12,85
2020-01-19,90
2020-01-26,90
2020-02-02,89
2020-02-09,91
2020-02-16,97
2020-02-23,90
2020-03-01,91
2020-03-08,85
2020-03-15,69
2020-03-22,49
2020-03-29,50
2020-04-05,50
2020-04-12,54
2020-04-19,54
2020-04-26,62
2020-05-03,59
2020-05-10,69
2020-05-17,72
2020-05-24,77
2020-05-31,70
2020-06-07,79
2020-06-14,73
2020-06-21,78
2020-06-28,71
2020-07-05,69
2020-07-12,76
2020-07-19,74
2020-07-26,73
2020-08-02,69
2020-08-09,70
2020-08-16,89
2020-08-23,86
