Category: All categories

Week,Cafe: (South Africa)
2019-09-01,60
2019-09-08,65
2019-09-15,61
2019-09-22,74
2019-09-29,64
2019-10-06,65
2019-10-13,67
2019-10-20,65
2019-10-27,62
2019-11-03,65
2019-11-10,69
2019-11-17,69
2019-11-24,72
2019-12-01,79
2019-12-08,71
2019-12-15,84
2019-12-22,95
2019-12-29,100
2020-01-05,73
2020-01-12,71
2020-01-19,73
2020-01-26,71
2020-02-02,74
2020-02-09,75
2020-02-16,73
2020-02-23,72
2020-03-01,70
2020-03-08,61
2020-03-15,44
2020-03-22,29
2020-03-29,19
2020-04-05,20
2020-04-12,20
2020-04-19,19
2020-04-26,26
2020-05-03,30
2020-05-10,28
2020-05-17,31
2020-05-24,30
2020-05-31,33
2020-06-07,34
2020-06-14,35
2020-06-21,33
2020-06-28,41
2020-07-05,38
2020-07-12,36
2020-07-19,38
2020-07-26,43
2020-08-02,44
2020-08-09,49
2020-08-16,51
2020-08-23,58
