Category: All categories

Week,DIY: (South Africa)
2019-09-01,54
2019-09-08,60
2019-09-15,62
2019-09-22,63
2019-09-29,58
2019-10-06,62
2019-10-13,64
2019-10-20,58
2019-10-27,57
2019-11-03,58
2019-11-10,56
2019-11-17,62
2019-11-24,57
2019-12-01,60
2019-12-08,60
2019-12-15,59
2019-12-22,57
2019-12-29,60
2020-01-05,52
2020-01-12,55
2020-01-19,55
2020-01-26,57
2020-02-02,55
2020-02-09,59
2020-02-16,54
2020-02-23,51
2020-03-01,52
2020-03-08,52
2020-03-15,69
2020-03-22,67
2020-03-29,75
2020-04-05,87
2020-04-12,100
2020-04-19,95
2020-04-26,94
2020-05-03,90
2020-05-10,88
2020-05-17,79
2020-05-24,76
2020-05-31,73
2020-06-07,68
2020-06-14,71
2020-06-21,66
2020-06-28,64
2020-07-05,66
2020-07-12,67
2020-07-19,65
2020-07-26,66
2020-08-02,62
2020-08-09,63
2020-08-16,62
2020-08-23,65
